0.0000__64.0000, 0.2860__64.0000, 0.6507__64.0000, 1.2147__64.0000, 1.7508__64.0000, 2.2689__64.0000, 2.7912__64.0000, 3.2306__64.0000, 4.0684__64.0000, 4.9333__64.0000, 5.9408__64.0000, 6.2322__64.0000, 6.6685__64.0000, 7.4103__64.0000, 8.0898__64.0000, 8.5194__64.0000, 9.4520__64.0000, 9.9845__64.0000, 10.5919__64.0000, 11.1303__64.0000, 11.7788__64.0000, 12.2894__64.0000, 12.8580__64.0000, 13.6533__64.0000, 15.7261__64.0000, 17.7250__64.0000, 19.6150__64.0000, 21.4072__64.0000, 23.2460__64.0000, 25.1196__64.0000, 27.0188__64.0000, 28.9479__64.0000, 30.8756__64.0000, 32.8050__64.0000, 34.6572__64.0000, 36.5093__64.0000, 38.2868__64.0000, 40.0792__64.0000, 41.8111__64.0000, 43.4952__64.0000, 45.1276__64.0000, 46.7700__64.0000, 48.3294__64.0000, 49.8289__64.0000, 51.2685__64.0000, 52.6843__64.0000, 54.1252__64.0000, 55.5941__64.0000, 57.0708__64.0000, 57.9038__64.0000, 58.6433__64.0000, 59.1551__64.0000, 59.7208__64.0000, 60.0602__64.0000, 60.4379__64.0000, 60.7926__64.0000, 61.1576__64.0000, 61.5026__64.0000, 61.8416__64.0000, 62.2066__64.0000, 62.6748__64.0000, 63.0822__64.0000, 63.2876__64.0000, 63.6428__64.0000, 64.0000__64.0000, 
0.0000__63.5602, 0.2945__63.5419, 0.6484__63.5081, 1.2311__63.4734, 1.7594__63.4462, 2.2740__63.4363, 2.7903__63.4182, 3.2049__63.4063, 4.0500__63.3799, 4.9159__63.3469, 5.8992__63.4535, 6.4698__63.3280, 6.7331__63.2742, 7.2749__63.4278, 8.1921__63.3874, 8.4573__63.3354, 9.4219__63.4907, 10.0851__63.3809, 10.5452__63.4114, 11.2320__63.3940, 11.7387__63.3868, 12.2707__63.4633, 12.9492__63.4011, 13.5958__63.3302, 15.6229__63.3390, 17.6509__63.3042, 19.5620__63.2812, 21.4078__63.2694, 23.2482__63.2866, 25.1410__63.3183, 27.0275__63.3324, 28.9705__63.3368, 30.8759__63.3336, 32.8032__63.3447, 34.6571__63.3491, 36.5018__63.3468, 38.2755__63.3461, 40.0624__63.3407, 41.7915__63.3354, 43.4728__63.3320, 45.1237__63.3205, 46.7582__63.3052, 48.3201__63.2880, 49.8210__63.2728, 51.2852__63.2730, 52.7434__63.2816, 54.2174__63.2900, 55.7135__63.3327, 57.2576__63.3692, 58.0250__63.2808, 58.5231__63.3587, 59.1515__63.4403, 59.6356__63.4400, 60.0234__63.4642, 60.4044__63.4582, 60.7546__63.4551, 61.1221__63.4616, 61.4856__63.4776, 61.8918__63.4701, 62.2745__63.4246, 62.6534__63.4059, 63.0298__63.4823, 63.3475__63.4643, 63.6205__63.4144, 64.0000__63.4326, 
0.0000__63.0947, 0.3230__63.0726, 0.6581__62.9986, 1.2540__62.9203, 1.7718__62.8952, 2.2969__62.8677, 2.7616__62.8740, 3.1899__62.8676, 4.0045__62.7701, 4.8878__62.6966, 5.7718__62.7404, 6.7232__62.7305, 6.8594__62.7303, 7.2415__62.7175, 8.1483__62.8921, 8.6543__62.7948, 9.1752__62.7613, 10.2526__62.8580, 10.5406__62.7969, 11.3714__62.8426, 11.7108__62.8668, 12.4141__62.8051, 13.0590__62.7708, 13.5583__62.7379, 15.3538__62.6787, 17.4821__62.6521, 19.4841__62.5587, 21.3822__62.5337, 23.2617__62.5678, 25.1650__62.6190, 27.0701__62.6365, 28.9897__62.6556, 30.8906__62.6662, 32.8007__62.6705, 34.6528__62.6813, 36.4845__62.6812, 38.2579__62.6753, 40.0320__62.6565, 41.7429__62.6521, 43.4425__62.6414, 45.0878__62.6227, 46.7438__62.6011, 48.2885__62.5721, 49.8197__62.5527, 51.3127__62.5423, 52.8429__62.5622, 54.3391__62.6162, 55.9031__62.6705, 57.4313__62.7476, 58.0457__62.8327, 58.4399__62.8188, 58.9601__62.8023, 59.4489__62.8555, 59.8289__62.8861, 60.2492__62.9173, 60.6268__62.9079, 60.9961__62.9217, 61.4335__62.9320, 61.8637__62.9608, 62.3375__62.9313, 62.6233__62.9147, 62.9853__62.8737, 63.2970__62.9221, 63.6255__62.9213, 64.0000__62.8486, 
0.0000__62.5476, 0.3234__62.5398, 0.6950__62.4659, 1.2374__62.3737, 1.7939__62.3449, 2.3392__62.3241, 2.7191__62.3305, 3.1906__62.3207, 3.9983__62.1699, 4.7985__62.0572, 5.6260__62.0043, 6.6846__62.1417, 7.1133__62.0727, 7.3356__62.1072, 8.0084__62.2444, 8.9904__62.1820, 9.1780__62.1272, 10.2767__62.2799, 10.7940__62.1622, 11.4040__62.1970, 11.8951__62.1585, 12.5721__62.1781, 13.0477__62.2165, 13.6078__62.1283, 15.0338__62.0630, 17.2846__61.9768, 19.3835__61.8599, 21.3560__61.8155, 23.2592__61.8369, 25.1829__61.8985, 27.1036__61.9282, 29.0009__61.9572, 30.9205__61.9553, 32.7881__61.9704, 34.6588__61.9785, 36.4566__61.9799, 38.2571__61.9796, 40.0098__61.9604, 41.7122__61.9484, 43.4290__61.9368, 45.0688__61.9117, 46.7109__61.8768, 48.2671__61.8547, 49.8224__61.8298, 51.3673__61.8261, 52.8985__61.8574, 54.4632__61.9380, 56.0592__62.0140, 57.4543__62.1263, 58.0366__62.1260, 58.3740__62.1345, 58.8112__62.1903, 59.2291__62.1890, 59.7708__62.2253, 60.1266__62.1631, 60.4774__62.2088, 60.9499__62.2104, 61.3119__62.1842, 61.6584__62.1966, 61.9767__62.2796, 62.4389__62.3820, 62.9119__62.3977, 63.3100__62.3034, 63.6529__62.1819, 64.0000__62.2052, 
0.0000__62.0890, 0.3217__62.0499, 0.6831__61.9609, 1.2447__61.8484, 1.8209__61.7576, 2.3318__61.7937, 2.7773__61.7971, 3.1736__61.7361, 3.9888__61.5890, 4.5978__61.5182, 5.4566__61.4118, 6.3202__61.4598, 7.3144__61.4274, 7.4616__61.4096, 8.1114__61.4656, 9.0495__61.5848, 9.4465__61.4694, 10.1701__61.5286, 11.0598__61.4863, 11.4297__61.5375, 12.1643__61.4765, 12.4834__61.5406, 13.0032__61.6360, 13.6860__61.5350, 14.6931__61.4698, 17.1070__61.3454, 19.2390__61.1619, 21.3036__61.1040, 23.2671__61.1086, 25.1895__61.1698, 27.1168__61.2098, 29.0083__61.2301, 30.9294__61.2594, 32.7944__61.2580, 34.6548__61.2722, 36.4547__61.2776, 38.2497__61.2649, 40.0013__61.2623, 41.7155__61.2363, 43.4120__61.2165, 45.0733__61.1968, 46.6760__61.1631, 48.2856__61.1240, 49.8471__61.0960, 51.4462__61.1214, 53.0122__61.1673, 54.6240__61.2777, 56.2938__61.4074, 57.5404__61.5285, 58.1458__61.5825, 58.3764__61.5697, 58.9183__61.6306, 59.3955__61.5721, 59.7998__61.5159, 59.9462__61.5377, 60.1585__61.6025, 60.7505__61.7690, 61.3309__61.6872, 61.4552__61.4770, 61.4982__61.3746, 62.1445__61.3133, 62.7779__61.3662, 63.5730__61.5267, 63.7040__61.5897, 64.0000__61.5878, 
0.0000__61.6015, 0.3290__61.5775, 0.6875__61.4426, 1.2457__61.2571, 1.8202__61.2098, 2.3581__61.1876, 2.8230__61.2252, 3.2242__61.2591, 3.9243__61.1272, 4.4323__61.0019, 5.1033__60.9676, 6.0568__60.8373, 7.2172__60.8421, 7.6754__60.7699, 8.0597__60.7872, 8.9388__60.9567, 9.7738__60.7906, 10.0341__60.8213, 10.9811__60.8892, 11.3783__60.9215, 12.1171__60.9749, 12.4469__61.0339, 12.9907__60.9490, 13.6751__61.0416, 14.7121__60.9244, 17.0030__60.6427, 19.1741__60.5062, 21.2617__60.3789, 23.2636__60.3765, 25.1825__60.4327, 27.1133__60.4825, 29.0167__60.5143, 30.9300__60.5263, 32.8126__60.5459, 34.6447__60.5518, 36.4631__60.5558, 38.2426__60.5491, 39.9962__60.5288, 41.7164__60.5165, 43.3930__60.4900, 45.0569__60.4688, 46.6875__60.4243, 48.2872__60.3848, 49.8931__60.3847, 51.4546__60.4001, 53.0255__60.4867, 54.6180__60.5714, 56.2217__60.8031, 57.5580__60.9410, 58.1022__60.9585, 58.3554__60.9652, 58.8629__60.9244, 59.3343__60.9225, 59.6027__60.9496, 59.7893__60.8963, 60.0835__60.7436, 60.6490__60.5714, 61.2125__60.6767, 61.3794__60.6961, 61.6329__60.4923, 62.2229__60.3616, 62.8912__60.4740, 63.4909__60.8815, 63.7360__61.1437, 64.0000__61.1300, 
0.0000__61.1078, 0.3253__61.0529, 0.7116__60.9120, 1.2522__60.7487, 1.8008__60.6316, 2.3638__60.6565, 2.9093__60.6220, 3.2546__60.6705, 3.9236__60.6493, 4.3421__60.6374, 4.7663__60.5999, 5.7453__60.3653, 6.7664__60.3267, 7.8848__60.1568, 8.0650__60.1522, 8.7524__60.1964, 9.7633__60.2354, 10.0786__60.2316, 10.7558__60.2702, 11.3307__60.2732, 11.9687__60.2934, 12.4798__60.3072, 13.1317__60.3398, 13.5916__60.2783, 14.8756__60.2074, 17.0560__60.0113, 19.2489__59.7743, 21.2737__59.6624, 23.2529__59.6484, 25.1927__59.6919, 27.0977__59.7384, 29.0316__59.7650, 30.9396__59.7851, 32.8175__59.8055, 34.6474__59.8220, 36.4669__59.8187, 38.2477__59.8090, 39.9980__59.8019, 41.7039__59.7779, 43.3918__59.7510, 45.0583__59.7143, 46.7162__59.6918, 48.2941__59.6517, 49.8692__59.6395, 51.3869__59.6903, 52.9298__59.7393, 54.4632__59.8676, 56.0377__60.0555, 57.4506__60.2131, 58.0213__60.2968, 58.3206__60.2353, 58.7651__60.2313, 59.2582__60.2763, 59.6725__60.2121, 60.0678__60.1917, 60.4577__60.1722, 60.8284__60.1912, 61.1231__60.0957, 61.5207__59.9483, 62.0047__59.9289, 62.4770__59.9136, 63.0058__60.1075, 63.3881__60.3169, 63.7051__60.4085, 64.0000__60.4214, 
0.0000__60.5641, 0.3169__60.5283, 0.7326__60.3901, 1.2409__60.2075, 1.8034__60.1239, 2.3611__60.0525, 2.9343__60.1665, 3.2717__60.2069, 3.8560__60.2707, 4.3520__60.3832, 4.7392__60.2719, 5.3213__60.0815, 6.3343__59.7660, 7.7184__59.7488, 8.2848__59.5190, 8.6472__59.5073, 9.4504__59.6680, 10.1849__59.5771, 10.5602__59.7083, 11.4443__59.5716, 11.7966__59.7081, 12.5961__59.6397, 13.0050__59.6872, 13.6582__59.7031, 14.6307__59.5972, 17.0728__59.3233, 19.2436__59.0489, 21.3118__58.9141, 23.2628__58.8848, 25.1881__58.9556, 27.1024__58.9985, 29.0298__59.0145, 30.9477__59.0340, 32.8261__59.0607, 34.6496__59.0726, 36.4703__59.0790, 38.2650__59.0667, 39.9902__59.0472, 41.7113__59.0307, 43.4019__58.9940, 45.0756__58.9689, 46.7205__58.9345, 48.3004__58.9016, 49.8216__58.8928, 51.3587__58.9167, 52.9158__59.0149, 54.4715__59.1598, 56.0856__59.3667, 57.4690__59.5382, 58.0702__59.5552, 58.3936__59.5628, 58.8763__59.6020, 59.4343__59.6165, 59.8317__59.6597, 60.2166__59.6395, 60.5845__59.5611, 60.8970__59.4646, 61.3045__59.4632, 61.7893__59.4374, 62.2252__59.4806, 62.6335__59.5606, 63.0304__59.6735, 63.3839__59.7723, 63.6678__59.7651, 64.0000__59.7457, 
0.0000__60.1069, 0.3039__59.9969, 0.7425__59.8214, 1.2579__59.6580, 1.8212__59.5275, 2.3455__59.5264, 2.8967__59.5119, 3.2786__59.6498, 4.0682__59.6878, 4.7023__59.6844, 5.1809__59.8094, 5.3216__59.7632, 5.9967__59.5040, 6.8474__59.4096, 8.3117__59.0778, 8.5717__59.0315, 9.1460__59.0760, 10.1003__59.0291, 10.4175__59.0520, 11.3257__59.0847, 11.7434__59.0499, 12.4449__59.0661, 12.9154__59.1496, 13.5634__59.1467, 14.5765__59.0429, 16.9911__58.6098, 19.1790__58.3483, 21.2729__58.1587, 23.2574__58.1394, 25.1999__58.1863, 27.1130__58.2370, 29.0395__58.2591, 30.9544__58.2716, 32.8256__58.3078, 34.6626__58.3154, 36.4742__58.2978, 38.2642__58.3170, 40.0001__58.3007, 41.7176__58.2594, 43.4246__58.2475, 45.0961__58.2111, 46.7244__58.1740, 48.2892__58.1319, 49.8322__58.1192, 51.3991__58.1681, 52.9840__58.2691, 54.5651__58.4715, 56.1945__58.7030, 57.5815__58.9744, 58.2016__59.0170, 58.3992__58.9430, 58.9873__59.0054, 59.4197__58.9923, 59.8620__58.9501, 60.1482__58.8412, 60.4416__58.8454, 60.9591__58.9425, 61.4965__58.8790, 61.8961__58.8816, 62.2996__58.9320, 62.6417__58.9835, 63.0377__59.0522, 63.3879__59.0885, 63.6646__59.0450, 64.0000__59.0034, 
0.0000__59.5777, 0.3336__59.4686, 0.7341__59.2232, 1.2772__59.0347, 1.8345__58.9734, 2.3292__58.9420, 2.8790__58.9608, 3.2453__58.8574, 4.5134__58.6939, 5.5873__58.5532, 5.9168__58.8454, 5.8835__59.1720, 5.9265__59.2473, 6.4336__59.1753, 7.7604__58.7988, 8.6971__58.6106, 9.0240__58.4322, 9.8570__58.5036, 10.3852__58.4700, 11.0411__58.5238, 11.8401__58.4862, 12.2909__58.4885, 12.8729__58.5242, 13.4828__58.5545, 14.8123__58.2912, 17.0489__57.9306, 19.2194__57.6120, 21.2219__57.4252, 23.2683__57.3509, 25.2037__57.4175, 27.1439__57.4631, 29.0563__57.4807, 30.9639__57.5020, 32.8293__57.5260, 34.6837__57.5276, 36.4880__57.5304, 38.2498__57.5326, 40.0223__57.5217, 41.7244__57.4954, 43.4281__57.4640, 45.0957__57.4440, 46.7177__57.3963, 48.2873__57.3515, 49.8742__57.3442, 51.4362__57.3922, 53.0074__57.5380, 54.5435__57.7201, 56.1064__58.0161, 57.5705__58.2831, 58.2193__58.4040, 58.4970__58.4033, 59.0346__58.3618, 59.5064__58.3599, 59.8897__58.2948, 60.0582__58.2064, 60.2854__58.1124, 60.9799__58.2173, 61.6825__58.3865, 61.9121__58.3972, 62.2273__58.4488, 62.5810__58.5333, 62.9877__58.5943, 63.3805__58.6293, 63.4502__58.4590, 64.0000__58.5841, 
0.0000__58.9957, 0.3130__58.8835, 0.7362__58.6433, 1.2746__58.4314, 1.8376__58.3568, 2.3603__58.3560, 2.7527__58.3525, 3.5837__58.1184, 4.8203__57.3199, 5.9118__57.2053, 6.5094__57.5307, 6.7982__58.0041, 6.5500__58.5065, 6.6732__58.7120, 7.3858__58.4636, 8.7408__58.0803, 9.1458__57.9660, 9.4608__58.0196, 10.4897__57.9881, 10.8341__57.9260, 11.7600__57.9008, 12.2061__57.9606, 12.9428__57.8404, 13.5042__57.7149, 14.8340__57.6013, 17.2181__57.1537, 19.3127__56.8147, 21.3186__56.6264, 23.2820__56.5655, 25.2278__56.6099, 27.1799__56.6565, 29.0754__56.6969, 30.9808__56.7105, 32.8392__56.7225, 34.7059__56.7385, 36.4858__56.7546, 38.2718__56.7472, 40.0065__56.7258, 41.7400__56.7064, 43.4129__56.6785, 45.0804__56.6337, 46.6975__56.5893, 48.3005__56.5468, 49.8790__56.5491, 51.4202__56.6223, 52.9480__56.7407, 54.4813__56.9685, 56.0707__57.2663, 57.5917__57.5857, 58.1852__57.6900, 58.5615__57.6818, 59.0050__57.7478, 59.5172__57.7440, 59.8136__57.7074, 60.1160__57.6474, 60.5080__57.5627, 61.1104__57.6158, 61.6283__57.8564, 61.9448__57.9298, 62.2043__57.7924, 62.5222__57.7117, 62.9650__57.8360, 63.2417__57.8664, 63.3160__57.2518, 64.0000__56.6269, 
0.0000__58.5002, 0.3117__58.3627, 0.7237__58.0539, 1.2801__57.7845, 1.8261__57.6977, 2.3612__57.7002, 2.5898__57.4566, 4.2314__56.8623, 5.1348__56.4325, 5.7603__56.3165, 6.6930__56.3618, 7.2962__56.9464, 7.4361__57.2907, 7.2183__57.7396, 7.7188__57.8080, 8.5954__57.6451, 9.3217__57.5124, 9.4936__57.4440, 10.4216__57.4196, 10.8698__57.3841, 11.6168__57.3317, 12.1864__57.2957, 12.9622__57.2340, 13.4424__57.2560, 14.6467__56.9682, 17.1515__56.4520, 19.3381__56.0188, 21.3843__55.7953, 23.3238__55.7568, 25.2681__55.7965, 27.1827__55.8474, 29.1076__55.8881, 30.9926__55.9107, 32.8671__55.9150, 34.7015__55.9395, 36.5052__55.9574, 38.2657__55.9435, 40.0233__55.9250, 41.7248__55.8907, 43.4186__55.8604, 45.0714__55.8189, 46.7104__55.7856, 48.3209__55.7445, 49.8696__55.7470, 51.4060__55.8072, 52.9602__55.9663, 54.5586__56.2233, 56.2316__56.6402, 57.7389__56.9465, 58.2802__57.0639, 58.4782__57.0322, 58.8985__56.9844, 59.4022__57.0170, 59.8081__57.0089, 60.2595__57.0196, 60.7126__57.0929, 61.1080__57.1734, 61.4773__57.1907, 61.8363__57.1339, 62.2319__57.1488, 62.5182__57.1638, 62.8718__57.2873, 63.0985__57.0847, 63.5025__56.5246, 64.0000__56.3650, 
0.0000__57.9491, 0.3012__57.7834, 0.7139__57.4328, 1.2712__57.1278, 1.8110__57.0124, 2.3402__57.0442, 2.6583__56.4737, 4.4377__55.4250, 5.2228__55.4037, 5.5860__55.7234, 6.4356__55.6907, 7.2089__55.7896, 7.9964__56.3307, 7.9505__56.6714, 8.0137__57.0357, 8.6813__56.9905, 9.6207__56.7187, 9.8637__56.7339, 10.2945__56.8477, 11.1721__56.6585, 11.5059__56.7014, 12.3856__56.6506, 12.7864__56.6431, 13.3961__56.6729, 14.7246__56.3102, 17.0806__55.6929, 19.2915__55.2519, 21.3789__54.9647, 23.3589__54.8965, 25.2848__54.9735, 27.2164__55.0171, 29.1180__55.0553, 31.0207__55.0895, 32.8840__55.1079, 34.7085__55.1302, 36.5119__55.1317, 38.2744__55.1029, 40.0259__55.0883, 41.7311__55.0671, 43.4264__55.0302, 45.0737__54.9925, 46.7218__54.9456, 48.3104__54.9043, 49.8886__54.9205, 51.4516__55.0095, 53.0326__55.1883, 54.6657__55.5155, 56.2963__55.9213, 57.7425__56.3795, 58.2582__56.4183, 58.4699__56.3178, 58.9146__56.3607, 59.4002__56.3539, 59.8628__56.4337, 60.3255__56.4959, 60.7037__56.4713, 61.0188__56.4088, 61.3790__56.4116, 61.7937__56.4806, 62.2222__56.4767, 62.5438__56.5274, 62.8523__56.5335, 63.1805__56.3959, 63.5291__56.0569, 64.0000__55.8283, 
0.0000__57.3980, 0.2842__57.2171, 0.7294__56.8197, 1.2703__56.4561, 1.7995__56.3128, 2.2665__56.3267, 2.7918__55.8492, 4.1005__55.0173, 5.1510__54.8058, 5.4921__55.1215, 6.0685__55.2370, 6.9077__55.1213, 7.7522__55.3727, 8.4732__55.5801, 8.3328__56.0824, 8.8509__56.2094, 9.6604__56.1355, 10.3164__55.8863, 10.5643__55.9553, 11.3172__56.0821, 11.6944__56.0014, 12.3199__56.0708, 12.7907__56.1257, 13.3124__55.9841, 14.8579__55.5212, 17.1436__54.9294, 19.3174__54.4330, 21.3695__54.1295, 23.3570__54.0549, 25.3063__54.1127, 27.2331__54.1832, 29.1341__54.2202, 31.0374__54.2479, 32.9017__54.2773, 34.7189__54.2901, 36.5288__54.2770, 38.2843__54.2552, 40.0323__54.2453, 41.7445__54.2177, 43.4246__54.1761, 45.0806__54.1379, 46.7319__54.0996, 48.3221__54.0596, 49.9172__54.0806, 51.5044__54.1929, 53.0438__54.4011, 54.6148__54.7217, 56.1803__55.1783, 57.6534__55.5040, 58.2787__55.7355, 58.5396__55.7020, 58.9627__55.6451, 59.4232__55.7063, 59.8986__55.7068, 60.2730__55.6440, 60.5522__55.6344, 60.9837__55.7308, 61.4257__55.7132, 61.7671__55.6867, 62.0082__55.7149, 62.3864__55.7569, 62.7987__55.7508, 63.2052__55.6174, 63.5710__55.3729, 64.0000__55.3283, 
0.0000__56.8770, 0.2936__56.6255, 0.7507__56.1579, 1.2777__55.7993, 1.8053__55.6528, 2.3206__55.6121, 2.8298__55.4990, 3.7353__54.9223, 4.8882__54.4727, 5.4170__54.5912, 5.8439__54.8166, 6.5358__54.7883, 7.2813__54.6725, 8.4596__54.8334, 8.8072__54.9896, 8.9175__55.3930, 9.5422__55.4359, 10.5272__55.2048, 10.7913__55.1778, 11.3195__55.2792, 11.9042__55.3420, 12.2677__55.4130, 12.8706__55.4154, 13.4231__55.2886, 14.7248__54.8402, 17.1809__54.1516, 19.3351__53.5791, 21.3952__53.2896, 23.3660__53.1845, 25.3242__53.2554, 27.2401__53.3101, 29.1648__53.3550, 31.0571__53.3761, 32.9196__53.4161, 34.7324__53.4220, 36.5559__53.4201, 38.3038__53.4103, 40.0466__53.3886, 41.7709__53.3570, 43.4376__53.3165, 45.1092__53.2818, 46.7417__53.2331, 48.3484__53.2056, 49.9352__53.2344, 51.4864__53.3588, 52.9989__53.5664, 54.5487__53.9137, 56.1708__54.3637, 57.6343__54.7967, 58.1986__54.9584, 58.5823__54.9458, 59.0002__55.0186, 59.5413__55.0993, 60.0399__55.1405, 60.3088__55.1021, 60.5743__55.0542, 61.0713__55.0807, 61.5063__55.1893, 61.6963__55.1017, 61.7489__54.7656, 62.1817__54.5013, 62.6748__54.4242, 63.3637__54.6606, 63.6486__54.7516, 64.0000__54.7211, 
0.0000__56.1999, 0.2917__55.9248, 0.7579__55.4485, 1.2930__55.1074, 1.8549__54.9431, 2.3952__54.9304, 2.8042__54.9700, 3.5807__54.6601, 4.4487__54.3293, 5.3480__54.2745, 5.6719__54.3932, 6.1894__54.5631, 6.9548__54.3475, 7.8254__54.2008, 9.0749__54.1183, 9.0726__54.4451, 9.4886__54.6333, 10.4443__54.5756, 11.0871__54.4193, 11.3130__54.5495, 12.0033__54.5556, 12.3233__54.6546, 13.1088__54.6090, 13.5765__54.5245, 14.6704__54.1912, 17.1117__53.3811, 19.3018__52.7694, 21.4047__52.3953, 23.3874__52.3057, 25.3328__52.3692, 27.2702__52.4247, 29.1749__52.4623, 31.0851__52.5026, 32.9294__52.5334, 34.7660__52.5384, 36.5610__52.5510, 38.3379__52.5437, 40.0692__52.5035, 41.7821__52.4770, 43.4747__52.4490, 45.1445__52.4062, 46.7675__52.3715, 48.3660__52.3445, 49.9241__52.3658, 51.4492__52.4826, 53.0151__52.7313, 54.5885__53.0974, 56.2078__53.6467, 57.7321__54.1435, 58.3038__54.2706, 58.6465__54.3150, 59.1150__54.4510, 59.6935__54.5953, 60.0922__54.6744, 60.4184__54.6981, 60.7918__54.6846, 61.2020__54.7369, 61.4802__54.6982, 61.6423__54.3324, 61.8070__53.6593, 62.1599__53.2852, 62.7370__53.3590, 63.2933__53.8514, 63.6508__54.2837, 64.0000__54.3507, 
