0.0000__32.0000, 0.0011__32.0000, 0.1793__32.0000, 0.3191__32.0000, 2.4865__32.0000, 2.8193__32.0000, 2.8472__32.0000, 3.5066__32.0000, 5.2912__32.0000, 5.7055__32.0000, 5.8923__32.0000, 5.9967__32.0000, 6.0999__32.0000, 6.3235__32.0000, 6.5436__32.0000, 6.8185__32.0000, 6.8214__32.0000, 7.4909__32.0000, 7.4921__32.0000, 8.6071__32.0000, 8.6086__32.0000, 9.0876__32.0000, 10.7594__32.0000, 14.1844__32.0000, 14.9016__32.0000, 16.5444__32.0000, 16.6575__32.0000, 19.5541__32.0000, 25.5316__32.0000, 27.2903__32.0000, 29.9515__32.0000, 30.8178__32.0000, 32.0000__32.0000, 
0.0000__31.5280, 0.0033__31.3594, 0.0526__30.7955, 0.1836__31.5926, 2.5961__31.7189, 2.7655__30.1085, 2.7909__29.8443, 3.8838__29.6145, 4.6226__30.0473, 5.4721__31.5052, 5.8385__31.3333, 5.9601__31.3056, 6.2313__31.1058, 6.3925__30.9180, 6.5000__30.9421, 6.8360__31.5484, 7.0632__31.3982, 7.5425__31.8401, 8.0108__31.4869, 8.4179__31.7664, 8.7537__31.8671, 9.5263__31.7939, 10.8618__31.7270, 13.1951__31.7487, 15.7596__31.8419, 16.3153__31.9420, 18.7657__31.9830, 22.5353__31.7313, 24.2551__31.6005, 27.6222__31.7678, 29.5079__31.8658, 30.8265__31.9651, 32.0000__31.8600, 
0.0000__30.2028, 0.1824__29.9583, 0.1404__30.3016, 0.2065__29.4881, 2.0442__27.0140, 2.8387__28.6689, 3.1517__28.4959, 4.1796__29.0122, 4.5812__29.0261, 5.4399__28.8415, 5.6145__29.1808, 5.8249__29.3961, 6.0879__29.8557, 6.3342__30.5811, 6.5669__30.3014, 6.5420__29.9616, 7.0363__30.2405, 7.5126__30.0334, 8.2191__31.0185, 8.8429__30.5128, 9.8295__31.1043, 10.2812__31.3617, 10.9857__31.4856, 12.8347__31.4584, 14.2670__31.5892, 21.0280__31.4899, 22.3495__31.4244, 23.0607__31.5013, 23.6607__31.4665, 28.0950__31.0807, 29.0123__31.0630, 31.3719__31.0083, 32.0000__31.0276, 
0.0000__28.2414, 0.2011__29.4208, 0.7716__28.6679, 1.1794__27.6819, 1.1868__27.6815, 2.7117__26.9937, 2.8779__28.5642, 3.7830__28.4616, 4.4373__28.4012, 5.2554__28.7095, 5.4988__28.7001, 5.6135__28.4029, 5.7938__28.7861, 5.9673__28.7569, 6.3407__29.3027, 6.5804__29.9665, 6.8922__29.9658, 7.3606__29.9318, 7.5766__29.9667, 8.0761__29.6820, 9.4818__30.8238, 10.8652__31.2697, 11.4436__31.4065, 13.5026__31.5076, 15.3744__31.6610, 16.5585__31.4379, 22.2135__31.4356, 23.3599__31.1904, 24.5332__30.9263, 28.2611__30.8847, 29.2161__30.9372, 31.6661__30.9085, 32.0000__30.8607, 
0.0000__23.6132, 0.0116__23.8755, 1.0896__25.2161, 1.1788__27.6689, 1.2090__27.6570, 2.0694__23.4296, 2.6241__25.5063, 3.5679__25.1960, 4.0664__25.5002, 4.8616__25.1754, 5.1022__25.3568, 5.3415__26.1419, 5.5016__25.7648, 5.6559__25.9212, 5.7520__25.9765, 6.0568__25.2231, 6.5722__26.1740, 6.7755__25.8399, 7.3614__26.8170, 7.2831__26.0796, 8.0736__27.0911, 8.3619__27.1517, 12.0776__30.2893, 13.5087__30.7668, 15.3230__31.1117, 23.3791__30.1821, 22.6406__30.4513, 24.4825__30.0446, 24.9992__30.0301, 28.9597__29.6268, 30.5624__29.1307, 31.5459__28.7860, 32.0000__28.7160, 
0.0000__22.4797, 0.3816__22.4267, 0.7609__22.3910, 0.9217__22.5901, 2.0749__23.4136, 2.1917__23.2170, 2.4822__23.8917, 3.8663__24.1990, 4.4491__23.3764, 5.0153__23.0969, 5.0811__22.8561, 5.1460__22.9139, 5.3252__22.8831, 5.3525__23.0834, 5.5608__23.3816, 5.6642__24.1329, 6.2653__25.1272, 6.4226__23.8566, 6.4788__23.6576, 6.6656__23.4013, 6.9722__23.9108, 7.0860__24.6386, 10.3584__28.9959, 13.4030__30.4805, 24.6340__29.5734, 18.5414__30.9976, 17.5928__7.1856, 24.8957__29.5468, 25.4133__29.4976, 29.5393__29.0909, 31.6095__27.8874, 31.8457__27.4568, 32.0000__27.5722, 
0.0000__21.9871, 0.5650__22.4563, 0.9723__21.8286, 1.0663__22.2076, 1.9077__22.7675, 2.1726__23.2299, 2.4920__23.8790, 2.6871__23.1570, 4.1497__24.1060, 4.5628__22.7655, 5.0402__22.8796, 5.1084__22.4926, 5.1342__22.5539, 5.3163__22.8093, 5.3966__22.9032, 5.7970__22.8512, 6.4024__23.5971, 6.6324__22.7474, 6.7158__23.1973, 7.3890__24.4833, 11.5858__26.2568, 7.4306__24.1380, 10.4275__28.7908, 14.3845__30.9076, 16.6458__31.3114, 10.4384__4.5085, 20.7927__6.8436, 25.4715__29.4665, 26.9329__29.1509, 29.6373__29.0436, 31.8137__27.1672, 31.8830__27.1515, 32.0000__27.5498, 
0.0000__20.6861, 0.5893__19.0999, 0.7852__17.7526, 1.0158__18.8890, 2.0695__19.1082, 2.5248__17.5812, 2.6954__23.1411, 3.1539__21.0097, 4.2692__17.9797, 4.9010__18.4191, 5.2373__17.8110, 5.6041__17.4949, 5.6344__17.7263, 5.8203__17.8471, 6.1820__17.0968, 6.7254__16.0705, 7.0322__15.6259, 7.4155__15.2831, 8.5568__13.6675, 9.2380__12.3858, 9.7239__12.1417, 10.9439__9.1796, 13.6006__7.4150, 20.6128__6.6383, 19.7295__15.3096, 17.7158__6.6111, 19.8912__7.4723, 21.3963__6.6453, 22.5188__5.7780, 29.3717__24.3363, 25.5777__5.3944, 30.1812__5.3377, 32.0000__15.6037, 
0.0000__15.6571, 0.5515__16.6430, 0.9111__16.6287, 0.9896__16.9353, 2.3351__17.3325, 2.7555__16.0394, 2.8036__16.3264, 4.2677__17.9810, 4.6492__16.4759, 5.1493__16.0664, 5.0991__18.0632, 6.1162__15.7177, 6.2380__15.7054, 7.1663__13.8724, 8.3977__12.2494, 8.0849__12.8104, 8.3370__13.1224, 8.2306__13.4827, 8.8779__12.7590, 10.7955__10.7783, 24.8798__23.1601, 10.9735__10.7068, 20.4197__8.1158, 15.7727__1.3013, 21.8119__8.5061, 17.3309__8.0849, 16.0928__10.0460, 20.1051__4.4000, 30.1964__28.6602, 28.8811__4.3633, 25.8969__13.4035, 21.6805__9.4517, 32.0000__16.7589, 
0.0000__15.4838, 0.2763__15.3443, 0.8829__15.3588, 1.0563__15.8628, 2.4077__15.8130, 2.9122__15.2312, 3.0398__15.7501, 3.9226__15.6534, 4.6520__16.4833, 5.3746__15.7167, 7.7077__12.0323, 7.7984__12.1347, 6.9135__13.9062, 8.4504__11.8460, 9.5394__10.1867, 9.7236__10.0212, 9.2696__10.8251, 10.0333__10.6220, 10.2566__9.2754, 12.3836__12.5645, 19.0151__17.7965, 13.2726__7.4609, 18.8267__9.1831, 21.5929__6.8290, 15.9564__7.0080, 14.9434__7.5483, 11.0518__7.9313, 18.5300__17.3447, 17.9765__6.5730, 19.1124__6.1566, 21.9739__6.3518, 24.3114__9.2762, 32.0000__7.0050, 
0.0000__14.8713, 0.3161__15.0866, 0.9089__15.1403, 1.1901__14.8923, 2.4127__15.4153, 2.9950__14.9613, 3.2045__14.6471, 4.4496__14.3222, 4.3043__14.7264, 7.6922__12.0520, 9.0262__10.1571, 9.0296__10.1048, 8.6472__10.6999, 9.4267__10.0463, 9.5214__9.7593, 9.9145__9.8708, 9.9097__8.4129, 10.0707__7.6996, 10.7457__10.0786, 13.3346__13.5049, 11.3839__10.1980, 14.8180__13.3855, 19.8759__6.4811, 12.2962__8.4147, 18.4582__6.9238, 19.9186__6.8454, 15.0366__8.0902, 16.7148__9.1809, 19.6480__6.3746, 24.6073__8.3018, 29.2252__4.4578, 25.6657__4.2566, 32.0000__6.8299, 
0.0000__14.8309, 0.3312__14.8169, 0.9706__14.8551, 1.2654__14.8224, 2.1278__15.0272, 3.3756__14.2101, 3.3812__14.2369, 4.5161__14.2342, 5.3210__13.1345, 7.7891__11.4972, 7.7671__11.6292, 9.5059__9.2634, 9.8937__11.3666, 9.5052__9.7162, 9.5663__8.8182, 9.8466__8.5401, 9.9470__5.8726, 11.0543__9.8531, 12.1588__13.4106, 9.9814__7.7998, 13.4154__10.7892, 10.5926__9.2360, 11.2125__5.0986, 17.0519__7.9553, 17.2871__6.5179, 20.2305__8.2482, 19.4109__6.3059, 18.6158__6.9546, 15.6230__6.4516, 23.5953__9.0806, 26.6622__5.1337, 30.0538__5.1126, 32.0000__4.9557, 
0.0000__14.6667, 0.5101__14.4507, 0.9953__14.0025, 1.2358__14.4314, 2.3758__14.3180, 3.3035__13.8228, 3.3631__14.0971, 4.5262__13.7443, 5.6469__12.6249, 6.2952__12.3434, 8.4021__10.9008, 9.1087__10.0751, 10.0321__10.3658, 9.5041__8.5168, 9.7803__9.1382, 11.0389__10.9825, 11.1145__9.9167, 11.6893__12.3792, 10.9133__9.8829, 13.5977__7.8625, 12.6315__8.7036, 11.8292__8.3644, 14.0537__7.2395, 16.7407__11.6634, 13.3733__5.9135, 21.0768__8.7683, 19.4454__7.0718, 17.9381__6.4947, 10.7296__4.9573, 23.3069__6.6855, 24.4338__10.4129, 30.0803__4.6502, 32.0000__5.3008, 
0.0000__14.2867, 0.7033__13.8301, 0.8808__13.7844, 1.2125__13.8742, 2.5747__13.6699, 3.2753__13.5823, 3.4156__13.4502, 5.1331__12.5460, 6.2170__11.7667, 8.5883__9.7572, 9.1507__9.5994, 8.9829__9.9623, 9.8765__9.7147, 9.7599__7.9412, 10.1666__8.2200, 11.0379__10.1554, 9.5529__8.5593, 11.3677__10.8505, 11.7223__9.3800, 11.1624__6.5102, 12.6530__7.3949, 12.3915__6.0636, 9.4173__8.7107, 11.1566__10.5262, 12.7822__3.1457, 20.5187__8.1957, 15.2730__6.6279, 21.8512__12.8166, 21.4740__6.6840, 24.3886__4.3664, 26.4140__5.4475, 29.5628__4.7686, 32.0000__5.7660, 
0.0000__12.9612, 0.7086__13.2738, 0.9210__13.2847, 1.2336__13.3873, 2.5325__13.3277, 3.4175__13.1997, 3.4489__13.2446, 5.3404__12.2018, 7.6830__10.2774, 9.0866__9.5932, 9.2721__9.0264, 9.4543__9.0033, 9.2930__8.3410, 10.0483__8.2821, 9.8430__5.5353, 9.6035__4.7413, 11.8008__12.9002, 11.4640__8.3696, 17.1809__16.9233, 11.4568__14.0977, 11.1084__8.1466, 12.5592__8.0355, 17.5830__9.2279, 19.2698__6.6619, 23.7451__10.1331, 17.3156__13.7568, 13.1502__18.9184, 15.3789__9.2436, 11.3020__8.3475, 23.5472__9.4561, 23.3295__9.0322, 28.0966__3.5830, 32.0000__6.7693, 
0.0000__12.8446, 0.3975__12.7917, 1.0161__12.9814, 1.0281__12.8939, 2.9827__12.7174, 3.2586__13.0777, 3.9429__12.5579, 5.6910__11.0116, 7.3870__10.5540, 9.2435__9.0446, 9.3653__8.5442, 9.4032__8.9261, 9.4143__8.4915, 9.6632__8.0416, 10.2370__8.4721, 10.5255__7.8821, 11.2080__9.9635, 10.9627__9.7823, 11.1061__7.0448, 12.9713__10.2853, 11.9176__5.6771, 10.9857__5.2615, 15.6783__15.0626, 23.1971__7.6799, 10.2310__1.0108, 18.1270__6.7018, 25.5520__29.2284, 19.4841__6.4355, 12.4734__6.8457, 18.7813__6.1096, 26.0894__5.2005, 26.3061__3.6860, 32.0000__4.1450, 
0.0000__12.8164, 0.4935__12.4060, 0.9354__12.4362, 1.1298__12.4652, 3.0014__11.7553, 3.3050__11.5342, 4.2966__10.7375, 5.8563__10.9896, 6.9703__10.0113, 9.0889__8.8324, 9.3248__8.6007, 9.3709__8.6751, 9.2905__8.2968, 9.7195__7.6929, 10.1289__7.2500, 11.3001__10.3445, 11.1276__7.6169, 12.1305__7.7877, 13.4708__10.5511, 14.9522__8.6259, 14.8159__8.2155, 15.4867__4.3810, 14.7635__7.5662, 10.7098__11.3829, 11.0843__4.0996, 14.8908__7.7909, 16.8808__6.1333, 13.5730__2.9494, 11.2658__11.4102, 24.1445__6.7170, 23.8668__5.9980, 28.4505__4.4927, 32.0000__4.1142, 
0.0000__11.9100, 0.1033__11.7990, 1.2825__11.6802, 1.3208__11.6512, 3.0935__11.2889, 4.1353__10.7385, 4.7606__10.0973, 6.5325__10.2956, 7.1346__9.8935, 9.3363__8.4047, 9.4049__8.4480, 9.4716__8.5678, 9.4943__8.4372, 12.8628__9.9557, 11.3157__8.4282, 12.8589__7.6378, 11.7065__4.2878, 11.9029__12.6620, 13.7325__7.1159, 12.9092__7.7420, 16.0807__10.7069, 16.4709__9.9296, 16.6647__10.6752, 14.4274__6.1914, 16.4475__6.8467, 23.3893__7.8989, 26.4571__29.2232, 18.2769__10.2137, 20.4737__7.2696, 23.1838__6.0503, 23.7004__5.5086, 24.6352__5.6419, 32.0000__3.9879, 
0.0000__11.9088, 0.2721__11.4147, 0.6859__11.0858, 1.4435__11.6389, 2.9451__10.5672, 4.3834__10.4893, 4.8571__9.7529, 6.8996__10.4650, 7.6176__9.6607, 9.3164__2.8470, 9.3768__7.6378, 9.4156__8.6073, 10.1610__7.6555, 10.3060__4.9693, 10.9244__6.8242, 12.5198__6.3817, 14.1166__7.5569, 13.8919__7.7907, 13.9870__7.6060, 15.3005__8.1960, 13.4828__11.7186, 13.8338__7.1405, 16.3745__10.1071, 19.9126__9.0410, 17.6324__6.9689, 18.6883__6.8378, 23.2705__11.7490, 16.7671__5.0934, 19.1047__6.2468, 24.3643__6.4965, 24.1037__5.3006, 26.2813__4.7542, 32.0000__3.6420, 
0.0000__10.6690, 0.3563__10.9435, 1.1221__9.6658, 1.6354__10.7454, 4.2994__9.8669, 4.6731__9.9040, 5.4123__9.1762, 7.0369__10.4318, 8.5476__6.6632, 12.6075__6.3871, 10.0945__4.6287, 12.7894__5.9850, 10.9454__5.6571, 12.9429__7.1745, 14.0938__7.6079, 13.4759__6.5048, 12.9604__6.2080, 13.8185__6.7822, 13.1448__5.4796, 14.0399__6.7048, 15.9530__9.7293, 16.5201__11.3173, 16.8764__11.2888, 16.0399__5.6569, 23.1193__11.0434, 19.0495__6.7952, 18.8727__6.4968, 19.7832__8.0402, 21.4408__6.4136, 23.9218__5.2617, 25.1258__5.0532, 29.6459__3.8235, 32.0000__3.5902, 
0.0000__10.6627, 0.0482__10.3876, 0.9387__9.3210, 0.9162__9.1221, 4.9053__8.2340, 4.7494__9.7361, 5.9612__8.6834, 9.0587__6.3183, 9.9152__4.2625, 11.1769__5.9722, 9.7285__4.9880, 12.7647__5.9403, 11.5035__6.2299, 12.6965__7.8353, 13.5138__6.5608, 13.7952__7.0414, 12.6162__8.1151, 14.0161__7.2324, 14.3711__7.3334, 14.7722__7.4211, 15.4842__8.8569, 14.4044__6.9477, 13.4361__4.6303, 17.6912__6.3923, 19.5214__5.5443, 16.2865__2.8772, 18.9951__6.4375, 19.7273__6.3912, 21.0108__6.1277, 24.0667__5.5863, 26.1861__4.5420, 30.0792__3.6690, 32.0000__3.5802, 
0.0000__10.6616, 0.0534__10.2951, 0.8779__9.1993, 0.9295__8.7961, 4.6468__8.0795, 5.1379__9.0177, 6.3027__8.0548, 10.9070__5.7932, 10.0227__5.4676, 10.2318__6.5423, 10.0762__6.1689, 10.8573__5.6590, 11.9187__7.7087, 12.4583__6.8756, 6.3741__6.3168, 10.0516__5.5570, 11.9514__5.3230, 13.8843__6.5656, 13.9122__6.9353, 14.9136__7.2771, 14.3208__6.8250, 15.2830__6.9314, 14.2432__5.0384, 16.4849__7.0110, 18.0168__6.2473, 20.6159__8.1855, 20.2014__7.8333, 20.7396__5.6501, 20.7318__5.8660, 24.2182__4.9316, 27.8427__4.0195, 30.5260__3.6188, 32.0000__3.5303, 
0.0000__10.2315, 0.2317__9.2215, 0.8202__8.4445, 1.1081__8.1453, 4.2965__7.3538, 4.8176__7.5343, 6.2675__6.8271, 10.6183__6.7766, 10.0200__4.7211, 11.1918__6.0201, 9.5496__8.2936, 10.1254__5.7179, 9.5260__5.4382, 11.2866__6.5035, 12.4065__6.3022, 9.5336__5.9001, 9.9842__4.3097, 13.9234__6.0767, 15.4988__6.1244, 15.9299__5.2948, 14.2262__3.1957, 12.7182__3.9621, 20.3933__7.8868, 17.0408__5.0392, 19.6041__6.5303, 18.2744__6.7938, 17.6083__5.3895, 20.8642__5.2498, 22.2175__5.2159, 24.0188__4.7359, 29.4431__3.4709, 30.8134__3.2938, 32.0000__3.3351, 
0.0000__8.2795, 0.3801__8.2355, 0.9175__7.6480, 0.9681__7.5036, 4.4660__6.7247, 5.2516__6.6995, 6.6583__5.9960, 9.3227__8.9297, 9.5524__6.9188, 12.1139__5.8608, 12.0796__10.5974, 9.9602__7.2695, 10.3417__5.5365, 10.1463__6.6624, 12.0293__10.1858, 12.5529__5.8125, 9.9433__6.7128, 15.4811__7.8920, 14.8679__7.0866, 15.7370__7.2340, 13.3145__6.9415, 15.0111__6.2897, 18.0648__5.6692, 18.7298__5.3085, 18.5657__5.2644, 18.8088__5.7983, 19.3251__5.7166, 20.9993__4.8952, 22.7682__4.2955, 24.2800__3.6560, 30.0332__2.8590, 31.2775__3.0102, 32.0000__2.9632, 
0.0000__7.3035, 0.3915__7.2667, 0.8144__7.4036, 2.1912__6.6621, 4.3929__6.3757, 5.9509__6.3580, 7.4462__5.2928, 9.8406__6.1262, 9.8706__4.9184, 10.5219__4.7925, 10.2621__5.2958, 11.3218__6.0861, 11.2508__5.7322, 9.6675__3.6009, 10.5087__4.7038, 10.8378__7.8483, 6.0753__8.7374, 6.4117__1.6278, 14.5475__6.8901, 15.2636__7.3135, 13.3130__5.3602, 14.3297__5.7125, 18.3809__6.3788, 19.1426__5.8586, 14.3295__2.9349, 17.4193__4.4387, 18.5125__4.5317, 20.9416__3.7429, 22.0069__3.9737, 27.3589__2.9913, 29.7828__2.7232, 31.4078__2.6209, 32.0000__2.7587, 
0.0000__7.1394, 0.1831__7.2839, 0.9897__6.6768, 1.1452__6.0350, 5.7426__6.1383, 7.0170__5.3989, 9.4811__5.2562, 10.0726__5.4329, 9.6437__7.0510, 11.2222__5.8067, 9.8903__5.3983, 8.9037__5.6678, 12.0742__4.8745, 9.8967__8.9119, 11.0520__3.8408, 10.2890__5.3586, 10.2653__5.8019, 12.8259__5.6042, 5.6695__2.3543, 11.6532__4.9034, 13.5716__5.5073, 13.6982__5.5467, 18.8051__6.2099, 18.1090__5.2632, 17.6466__4.6974, 19.7082__5.9558, 18.5102__4.1936, 20.9364__3.8058, 21.2848__3.5369, 26.9095__2.4696, 27.9167__2.9147, 31.9523__2.4468, 32.0000__2.4502, 
0.0000__7.1334, 0.0311__6.9407, 1.0453__5.8864, 1.3592__5.0306, 6.4174__5.1252, 8.2068__4.8292, 9.0519__6.2482, 9.3057__8.1663, 9.4262__8.5309, 9.8381__5.5805, 10.1295__5.0464, 11.6269__4.5688, 10.2029__5.8199, 9.9958__5.8361, 10.4469__5.8343, 10.6144__7.0881, 12.5873__5.3904, 10.8338__4.5144, 12.5672__5.5874, 15.4873__7.5953, 13.0953__5.1897, 15.9052__6.3598, 17.5938__5.4249, 17.9047__5.5247, 18.9621__4.6400, 18.1575__4.1188, 19.4376__4.5074, 20.6321__3.6549, 22.4272__3.0771, 25.0969__2.5871, 27.3761__2.3488, 31.3551__1.7989, 32.0000__2.2948, 
0.0000__6.2767, 0.6464__5.8215, 0.7182__5.5898, 1.9407__4.6907, 6.0157__4.8045, 7.1746__4.9958, 7.9004__4.8369, 9.6113__5.8754, 9.8917__8.5093, 10.2469__4.1259, 9.3192__6.4903, 11.5360__6.4610, 9.8054__5.4742, 10.1983__5.8792, 12.0249__6.8811, 12.5356__4.9682, 8.0080__3.2857, 11.3999__4.2734, 13.7800__6.4216, 14.0135__6.0349, 13.9284__5.1314, 15.2978__3.4423, 17.3206__3.9271, 18.0939__3.9256, 19.7530__3.9816, 20.0149__3.6438, 20.6070__3.6663, 20.6234__3.6592, 22.1626__2.7897, 27.0099__1.7850, 30.3018__1.6998, 31.0903__1.6905, 32.0000__1.6462, 
0.0000__4.2699, 0.5100__4.8070, 0.8678__4.9294, 1.8648__4.2232, 5.3533__4.6870, 7.2520__4.8373, 7.1793__4.2315, 8.8577__4.1713, 9.7775__4.0304, 10.7131__4.6060, 14.1776__7.2428, 9.9601__6.3637, 11.5623__5.0651, 11.9386__5.3674, 12.3678__4.7241, 10.7100__3.1272, 12.3696__4.5274, 12.9043__4.6487, 13.6359__4.7747, 15.8540__5.8651, 13.6504__4.5971, 14.6690__3.7189, 17.1909__3.1748, 18.4123__3.1739, 19.3999__3.5083, 20.5738__3.5599, 21.1355__2.9817, 22.1538__2.7909, 24.7693__1.9084, 25.8054__1.3481, 29.6312__1.6167, 31.1673__1.4373, 32.0000__1.5170, 
0.0000__2.9817, 0.2941__2.0207, 1.5228__1.8481, 1.7178__2.1870, 5.6427__2.3712, 6.2496__2.6958, 5.9769__2.4000, 8.3695__2.4767, 9.1673__2.8360, 10.2310__3.0777, 10.8227__3.0003, 11.3817__2.9788, 10.9473__2.7360, 12.7015__3.4429, 11.5758__2.8881, 12.6904__3.9672, 12.1644__3.0976, 12.8085__2.9215, 13.3697__2.6359, 14.4917__2.2129, 14.8442__2.4260, 15.5252__2.3994, 16.8322__2.1647, 18.5789__2.2074, 19.0915__1.6666, 21.6533__1.5611, 21.8178__1.9797, 23.8890__1.2472, 25.7986__1.3490, 27.1733__0.9226, 29.1510__0.4873, 31.4498__0.7162, 32.0000__0.6002, 
0.0000__1.3992, 0.2215__1.5277, 1.3269__1.6226, 1.4512__1.4139, 5.8018__2.1655, 6.2415__0.9848, 7.1444__0.9254, 8.9305__2.0127, 10.0084__2.2620, 11.5161__2.6912, 11.0185__2.5099, 10.8960__2.3051, 11.2768__1.9321, 11.6378__1.1438, 11.4412__1.0327, 12.8313__1.4969, 12.6706__2.4322, 13.3187__2.3325, 13.8182__2.1289, 14.5365__1.8128, 14.9576__1.4018, 15.7444__0.8977, 16.9301__0.7873, 18.6379__0.5519, 19.5198__0.4389, 19.4360__1.4225, 21.8175__1.5026, 23.1540__0.2386, 24.1113__0.6407, 29.1690__0.4872, 30.9265__0.2164, 31.0335__0.1731, 32.0000__0.4876, 
0.0000__0.5392, 0.1325__0.4009, 1.5514__0.3956, 1.6520__0.3023, 5.2496__0.1178, 7.2095__0.5002, 7.1977__0.5394, 8.7038__1.0571, 9.0857__1.6575, 10.6275__1.7887, 10.9470__1.2517, 11.2699__0.5194, 11.5396__0.3614, 11.8171__0.3393, 12.0576__0.6489, 12.0872__0.5571, 12.6005__0.4396, 13.2883__1.7999, 14.4174__1.2531, 14.9228__0.5197, 15.4165__0.3222, 15.6472__0.2153, 16.8275__0.0913, 18.0836__0.1293, 19.4868__0.2690, 20.0049__0.0720, 22.9468__0.0949, 23.2080__0.1703, 24.7479__0.1030, 28.5831__0.1583, 31.0594__0.1690, 31.8752__0.0422, 32.0000__0.0030, 
0.0000__0.0000, 0.3864__0.0000, 0.9757__0.0000, 1.7494__0.0000, 6.0399__0.0000, 7.1037__0.0000, 7.2669__0.0000, 7.6386__0.0000, 7.8840__0.0000, 10.6733__0.0000, 10.9122__0.0000, 11.5827__0.0000, 11.5894__0.0000, 11.9560__0.0000, 12.0617__0.0000, 12.2718__0.0000, 12.2842__0.0000, 13.0900__0.0000, 14.9411__0.0000, 15.2008__0.0000, 15.3970__0.0000, 15.6089__0.0000, 16.6218__0.0000, 17.8662__0.0000, 19.1424__0.0000, 20.8336__0.0000, 21.9680__0.0000, 24.2564__0.0000, 24.9347__0.0000, 29.0089__0.0000, 29.8895__0.0000, 31.9982__0.0000, 32.0000__0.0000